person_id,name,team_id,team,team_abbreviation,position,rank,avg_speed,speed_runs,sprints,total_distance
433420,Soufiane Bouftini,285023_43872,Morocco,MAR,,2163,0.0,0.0,0.0,0.0
523291,Soufiane El Faouzi,285023_43872,Morocco,MAR,,2164,0.0,0.0,0.0,0.0
522333,Sphesihle Maduna,285023_43883,South Africa,RSA,,2167,0.0,0.0,0.0,0.0
313021,Stefan De Vrij,285023_43960,Netherlands,NED,,2168,0.0,0.0,0.0,0.0
504279,Stephane Cueni,285023_43850,Cabo Verde,CPV,,2171,0.0,0.0,0.0,0.0
394995,Stephane Lambese,285023_43908,Haiti,HAI,,2172,0.0,0.0,0.0,0.0
522990,Stephen Welsh,285023_43967,Scotland,SCO,,2174,0.0,0.0,0.0,0.0
489434,Stevenson Jeudi,285023_43908,Haiti,HAI,,2177,0.0,0.0,0.0,0.0
430119,Stian Gregersen,285023_43961,Norway,NOR,,2178,0.0,0.0,0.0,0.0
309158,Stiven Mendoza,285023_43926,Colombia,COL,,2179,0.0,0.0,0.0,0.0
368538,Storm Roux,285023_43978,New Zealand,NZL,,2182,0.0,0.0,0.0,0.0
522997,Stuart Findlay,285023_43967,Scotland,SCO,,2183,0.0,0.0,0.0,0.0
368713,Suad Natiq,285023_43818,Iraq,IRQ,,2184,0.0,0.0,0.0,0.0
448147,Sven Botman,285023_43960,Netherlands,NED,,2187,0.0,0.0,0.0,0.0
429100,Taher Mohamed,285023_43855,Egypt,EGY,,2189,0.0,0.0,0.0,0.0
485347,Tahith Chong,285023_1895293,Curaçao,CUW,mf,2190,6.14,293.0,107.0,27318.08
418633,Taishi Brandon Nozawa,285023_43819,Japan,JPN,,2192,0.0,0.0,0.0,0.0
391705,Takuma Asano,285023_43819,Japan,JPN,,2196,0.0,0.0,0.0,0.0
486929,Tani Oluwaseyi,285023_43899,Canada,CAN,fw,2197,6.11,350.0,172.0,29357.02
485454,Tanner Tessmann,285023_43921,USA,USA,,2198,0.0,0.0,0.0,0.0
386385,Tarek Salman,285023_43834,Qatar,QAT,,2200,0.0,0.0,0.0,0.0
522840,Tarik Karic,285023_44037,Bosnia and Herzegovina,BIH,,2201,0.0,0.0,0.0,0.0
484022,Tarik Muharemovic,285023_44037,Bosnia and Herzegovina,BIH,df,2202,5.92,279.0,78.0,28776.65
496745,Tatsuhiro Sakamoto,285023_43819,Japan,JPN,,2203,0.0,0.0,0.0,0.0
485782,Tawfik Bentayeb,285023_43872,Morocco,MAR,,2204,0.0,0.0,0.0,0.0
403616,Teboho Mokoena,285023_43883,South Africa,RSA,mf,2205,6.15,423.0,121.0,30982.52
498440,Teo Michel,285023_43908,Haiti,HAI,,2207,0.0,0.0,0.0,0.0
