person_id,name,team_id,team,team_abbreviation,position,rank,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
511022,Kojo Peprah Oppong,285023_43860,Ghana,GHA,DF,535,1.0,0.0,1.0,0.0,0.0,0.0
441258,Ismael Kone,285023_43899,Canada,CAN,MF,535,1.0,3.0,0.0,0.0,0.0,0.0
506039,Ime Okon,285023_43883,South Africa,RSA,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
520037,Derrick Luckassen,285023_43860,Ghana,GHA,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
395984,Themba Zwane,285023_43883,South Africa,RSA,MF,535,1.0,0.0,0.0,1.0,0.0,0.0
504502,Sebastian Tounekti,285023_43888,Tunisia,TUN,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
463221,Nkosinathi Sibisi,285023_43883,South Africa,RSA,DF,535,1.0,0.0,1.0,0.0,0.0,0.0
419223,Oswin Appollis,285023_43883,South Africa,RSA,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
494313,Yannick Semedo,285023_43850,Cabo Verde,CPV,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
418550,Rafael Leao,285023_43963,Portugal,POR,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
523288,Ayoube Amaimouni,285023_43872,Morocco,MAR,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
402261,Nicolas Pepe,285023_43854,Côte d'Ivoire,CIV,FW,535,1.0,1.0,1.0,0.0,0.0,1.0
499290,Luka Vuskovic,285023_43938,Croatia,CRO,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
336098,Memphis Depay,285023_43960,Netherlands,NED,FW,535,1.0,1.0,1.0,0.0,0.0,0.0
482885,Elias Saad,285023_43888,Tunisia,TUN,FW,535,1.0,3.0,0.0,0.0,0.0,1.0
494375,Firas Chaouat,285023_43888,Tunisia,TUN,FW,535,1.0,2.0,0.0,0.0,0.0,3.0
461177,Obed Vargas,285023_43911,Mexico,MEX,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
416902,Mohamed Abdelmoneim,285023_43855,Egypt,EGY,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
370171,Abdoulaye Seck,285023_43879,Senegal,SEN,DF,535,1.0,1.0,1.0,0.0,0.0,0.0
331732,Maxime Crepeau,285023_43899,Canada,CAN,GK,535,1.0,1.0,0.0,0.0,0.0,0.0
466687,Ali Ahmed,285023_43899,Canada,CAN,FW,535,1.0,5.0,0.0,0.0,0.0,0.0
418798,Pape Matar Sarr,285023_43879,Senegal,SEN,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
482782,Dailon Livramento,285023_43850,Cabo Verde,CPV,FW,535,1.0,1.0,0.0,0.0,0.0,2.0
441342,Abdul Fatawu,285023_43860,Ghana,GHA,FW,535,1.0,8.0,1.0,0.0,0.0,0.0
407022,Karim Hafez,285023_43855,Egypt,EGY,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
448522,Alidu Seidu,285023_43860,Ghana,GHA,DF,535,1.0,0.0,1.0,0.0,0.0,0.0
433380,Montassar Talbi,285023_43888,Tunisia,TUN,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
481242,Iqraam Rayners,285023_43883,South Africa,RSA,FW,535,1.0,1.0,0.0,0.0,0.0,2.0
482783,Wagner Pina,285023_43850,Cabo Verde,CPV,DF,535,1.0,3.0,1.0,0.0,0.0,0.0
