match_id,team_id,is_home,possession_pct,expected_goals,big_chances,big_chances_missed,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,hit_woodwork,corners,offsides,fouls,yellow_cards,passes_total,passes_accurate,passes_final_third,long_balls_total,long_balls_accurate,crosses_total,crosses_accurate,tackles,interceptions,clearances,saves,ground_duels_won,ground_duels_total,aerial_duels_won,aerial_duels_total,dribbles_completed,dribbles_total,throw_ins,goal_kicks,free_kicks
43,34,False,58,1.7,4.0,2.0,16,4,7,5,10,6,0,4,4.0,5,,489,430,64,58,37,23,8,16,10,18,3,40,59,17,37,11,17,20,4,13
27,5,True,79,4.6,6.0,3.0,32,10,8,14,21,11,0,19,1.0,9,1.0,567,515,60,16,10,55,13,9,6,3,0,25,52,8,15,6,11,23,2,10
27,7,False,21,0.22,0.0,0.0,2,0,1,1,1,1,0,1,1.0,10,1.0,162,104,23,54,17,3,1,16,10,61,4,27,52,7,15,2,5,9,13,9
64,30,True,51,1.52,1.0,1.0,15,2,8,5,9,6,0,4,2.0,10,1.0,452,385,60,56,29,18,2,16,13,30,3,41,86,17,28,10,23,21,5,16
64,31,False,49,0.4,1.0,1.0,7,3,1,3,5,2,0,2,0.0,16,3.0,442,355,62,54,23,10,3,29,10,23,2,45,86,11,28,6,13,27,12,10
26,8,True,62,2.01,3.0,,13,7,3,3,9,4,0,7,3.0,7,1.0,587,517,57,49,23,22,1,19,4,19,2,39,64,11,21,3,9,21,3,17
26,6,False,38,0.24,0.0,,5,3,1,1,3,2,0,3,1.0,18,2.0,353,285,37,48,12,12,1,13,12,35,3,25,64,10,21,5,12,8,8,7
40,28,True,44,1.12,3.0,2.0,11,5,3,3,6,5,0,4,3.0,14,2.0,420,338,46,49,20,15,3,11,5,21,4,25,59,15,34,6,14,21,10,8
40,26,False,56,1.96,5.0,3.0,19,7,6,6,12,7,0,3,0.0,8,1.0,528,463,73,50,24,22,7,16,7,34,4,34,59,19,34,7,11,23,3,14
37,29,True,67,2.85,5.0,2.0,22,8,12,2,13,9,1,6,2.0,10,0.0,725,668,66,37,27,25,7,9,16,15,1,16,49,11,15,6,14,16,1,2
37,31,False,33,0.14,0.0,0.0,3,1,1,1,0,3,0,1,3.0,2,2.0,364,292,44,35,14,5,0,15,12,36,5,33,49,4,15,8,12,15,16,10
63,32,True,33,0.2,1.0,1.0,5,1,3,1,2,3,0,1,5.0,14,3.0,301,228,42,43,15,16,1,25,14,14,0,46,86,4,20,7,15,17,5,14
63,29,False,67,0.86,1.0,1.0,6,1,4,1,5,1,1,6,2.0,14,1.0,623,553,47,34,18,12,3,17,9,23,2,40,86,16,20,10,22,10,6,14
31,9,True,57,1.56,5.0,2.0,8,5,2,1,8,0,0,4,8.0,13,1.0,525,462,52,44,20,9,1,21,10,14,3,38,70,14,24,4,15,20,5,14
31,11,False,43,0.23,0.0,0.0,7,3,3,1,4,3,0,4,4.0,14,3.0,399,331,49,57,31,11,3,16,9,22,2,32,70,10,24,3,17,14,5,13
45,41,True,66,2.43,7.0,5.0,17,9,5,3,12,5,0,3,2.0,14,1.0,624,561,79,40,22,22,5,14,5,16,2,43,82,11,17,14,26,20,5,15
45,43,False,34,0.25,0.0,0.0,7,2,2,3,4,3,0,2,2.0,15,1.0,325,262,31,29,9,8,0,18,14,30,4,39,82,6,17,8,15,16,6,14
30,12,True,41,0.51,1.0,1.0,6,0,3,3,5,1,0,2,1.0,11,1.0,456,388,59,47,20,13,3,20,9,17,1,31,56,7,16,4,6,9,7,8
30,10,False,59,0.99,3.0,2.0,12,2,6,4,9,3,1,5,0.0,8,1.0,670,600,62,44,14,10,2,10,5,14,0,25,56,9,16,5,18,19,7,11
29,13,True,62,1.3,1.0,,10,2,2,6,8,2,0,7,1.0,12,3.0,524,445,65,58,26,14,5,20,21,31,2,44,78,16,42,11,17,18,10,16
29,15,False,38,0.44,0.0,,5,2,3,0,3,2,0,4,0.0,16,4.0,308,220,44,45,19,19,3,12,7,23,1,34,78,26,42,12,22,22,4,12
32,16,True,79,2.1,3.0,3.0,32,5,15,12,16,16,1,12,2.0,14,1.0,630,561,75,42,28,42,8,17,6,28,1,43,92,15,34,11,25,34,3,15
32,14,False,21,0.32,0.0,0.0,7,2,3,2,3,4,0,0,3.0,15,1.0,177,93,47,64,21,6,2,25,9,47,5,50,93,19,34,13,23,18,13,14
34,17,True,60,1.83,6.0,4.0,16,7,5,4,9,7,0,8,0.0,5,,624,555,80,32,19,21,5,26,7,14,1,38,82,10,20,6,16,18,4,7
34,19,False,40,1.23,2.0,1.0,9,2,2,5,6,3,0,3,1.0,7,,431,367,37,58,29,9,5,20,13,26,5,44,82,10,20,20,33,24,7,5
35,20,True,75,3.05,6.0,6.0,27,15,10,2,21,6,1,9,1.0,7,1.0,646,580,101,34,13,32,12,19,7,16,3,36,69,15,33,8,13,18,5,10
35,18,False,25,0.48,0.0,0.0,10,3,4,3,4,6,0,0,2.0,10,5.0,226,158,28,50,14,1,1,17,7,32,15,33,69,18,33,9,21,15,14,7
33,21,True,51,2.47,3.0,0.0,10,7,2,1,6,4,0,2,3.0,9,0.0,450,398,47,35,18,15,3,15,8,24,7,29,63,14,27,3,13,13,11,12
33,23,False,49,0.99,2.0,1.0,16,8,5,3,7,9,0,5,3.0,12,3.0,423,362,36,30,7,22,3,19,5,15,2,34,63,13,27,7,12,22,11,9
